DM_atp_c_,1.07,1
EX_ala_L(e),0.024791373,1.5
EX_arg_L(e),-0.018943675,1.5
EX_asn_L(e),-0.004103976,1.5
EX_asp_L(e),-0.004009832,1.5
EX_chol(e),-0.000448348,1.5
EX_cit(e),0.001439989,1.5
EX_cl(e),0,1.5
EX_co2(e),2.266963761,1.5
EX_glc(e),-0.646859708,1.5
EX_gln_L(e),-0.103294848,1.5
EX_glu_L(e),0.003885538,1.5
EX_gly(e),-0.007025787,1.5
EX_h(e),7.789221726,1.5
EX_h2o(e),-1.689205869,1.5
EX_ile_L(e),-0.013633831,1.5
EX_k(e),0,1.5
EX_lac_L(e),0.704247303,1.5
EX_leu_L(e),-0.011143787,1.5
EX_lys_L(e),-0.013570427,1.5
EX_na1(e),0,1.5
EX_nh4(e),0.224340763,1.5
EX_o2(e),-0.410300571,1.5
EX_orn(e),-0.000505911,1.5
EX_phe_L(e),-0.003985771,1.5
EX_pi(e),-0.008835906,1.5
EX_pro_L(e),0.00520382,1.5
EX_ser_L(e),-0.013474767,1.5
EX_thr_L(e),-0.007693514,1.5
EX_trp_L(e),-0.000781978,1.5
EX_tyr_L(e),-0.005391662,1.5
EX_urea(e),0.020080992,1.5
EX_val_L(e),-0.008268163,1.5