DM_atp_c_,1.07,10
EX_ala_L(e),0.007563577,10
EX_arg_L(e),-0.010137344,10
EX_asn_L(e),-0.005833593,10
EX_asp_L(e),-0.009594055,10
EX_chol(e),-0.000800062,10
EX_cit(e),0.001832548,10
EX_cl(e),0,10
EX_co2(e),1.559725362,10
EX_glc(e),-0.288633977,10
EX_gln_L(e),-0.087881551,10
EX_glu_L(e),-0.006694824,10
EX_gly(e),-0.007382056,10
EX_h(e),4.668405765,10
EX_h2o(e),-1.012807448,10
EX_ile_L(e),-0.02125564,10
EX_k(e),0,10
EX_lac_L(e),0.193742561,10
EX_leu_L(e),-0.022623951,10
EX_lys_L(e),-0.018843302,10
EX_na1(e),0,10
EX_nh4(e),0.186366317,10
EX_o2(e),-0.357911348,10
EX_orn(e),-0.000901867,10
EX_phe_L(e),-0.005903803,10
EX_pi(e),-0.016570054,10
EX_pro_L(e),-0.001618762,10
EX_ser_L(e),-0.017598705,10
EX_thr_L(e),-0.010131364,10
EX_trp_L(e),-0.001432398,10
EX_tyr_L(e),-0.008041138,10
EX_urea(e),0.011126134,10
EX_val_L(e),-0.011964216,10