DM_atp_c_,1.07,1.5
EX_ala_L(e),0.01257788,1.5
EX_arg_L(e),-0.005552074,1.5
EX_asn_L(e),-0.005030074,1.5
EX_asp_L(e),0.000750958,1.5
EX_chol(e),-0.000578125,1.5
EX_cit(e),0.003513848,1.5
EX_cl(e),0,1.5
EX_co2(e),1.167053645,1.5
EX_glc(e),-0.436212496,1.5
EX_gln_L(e),-0.110504785,1.5
EX_glu_L(e),0.017333082,1.5
EX_gly(e),0.000822982,1.5
EX_h(e),4.014066362,1.5
EX_h2o(e),-0.872018427,1.5
EX_ile_L(e),-0.011731877,1.5
EX_k(e),0,1.5
EX_lac_L(e),0.602986808,1.5
EX_leu_L(e),-0.015474964,1.5
EX_lys_L(e),-0.010345756,1.5
EX_na1(e),0,1.5
EX_nh4(e),0.190977032,1.5
EX_o2(e),-0.23501264,1.5
EX_orn(e),-0.001561292,1.5
EX_phe_L(e),-0.004821991,1.5
EX_pi(e),-0.011393517,1.5
EX_pro_L(e),0.002041677,1.5
EX_ser_L(e),-0.023554273,1.5
EX_thr_L(e),-0.009634843,1.5
EX_trp_L(e),-0.001321123,1.5
EX_tyr_L(e),-0.008113127,1.5
EX_urea(e),0.007005514,1.5
EX_val_L(e),-0.009963059,1.5